title;year;url;checkedcount;favouritecount;officialtoplistcount;usertoplistcount;akatitle;imdburl;checked;favorite;disliked;watchlist;owned
"The Hangover";2009;http://www.icheckmovies.com/movies/the+hangover/;78853;4008;3;279;;http://www.imdb.com/title/tt1119646/;"2014-04-23 23:40:41";no;no;no;no
"Django Unchained";2012;http://www.icheckmovies.com/movies/django+unchained/;40700;4559;10;573;;http://www.imdb.com/title/tt1853728/;"2014-04-23 23:40:38";no;no;no;no
"Pirates of the Caribbean: The Curse of the Black Pearl";2003;http://www.icheckmovies.com/movies/pirates+of+the+caribbean+the+curse+of+the+black+pearl/;97165;4284;10;397;;http://www.imdb.com/title/tt0325980/;"2014-04-23 23:40:27";no;no;no;no
"Good Will Hunting";1997;http://www.icheckmovies.com/movies/good+will+hunting/;60993;4531;8;388;;http://www.imdb.com/title/tt0119217/;"2014-04-23 23:40:25";no;no;no;no
"Catch Me If You Can";2002;http://www.icheckmovies.com/movies/catch+me+if+you+can/;64566;4454;6;284;;http://www.imdb.com/title/tt0264464/;"2014-04-23 23:40:18";no;no;no;no
"Die Hard";1988;http://www.icheckmovies.com/movies/die+hard/;73062;4464;16;493;;http://www.imdb.com/title/tt0095016/;"2014-04-23 23:40:17";no;no;no;no
"Rear Window";1954;http://www.icheckmovies.com/movies/rear+window/;37396;4609;26;688;;http://www.imdb.com/title/tt0047396/;"2014-04-23 23:40:16";no;no;yes;no
Drive;2011;http://www.icheckmovies.com/movies/drive-2011-1/;39524;4652;5;534;;http://www.imdb.com/title/tt0780504/;"2014-04-23 23:40:15";no;no;no;no
"The Nightmare Before Christmas";1993;http://www.icheckmovies.com/movies/the+nightmare+before+christmas/;63261;4565;12;353;;http://www.imdb.com/title/tt0107688/;"2014-04-23 23:40:14";no;no;no;no
"Jurassic Park";1993;http://www.icheckmovies.com/movies/jurassic+park/;92469;4779;16;518;;http://www.imdb.com/title/tt0107290/;"2014-04-23 23:40:12";no;no;no;no
"Edward Scissorhands";1990;http://www.icheckmovies.com/movies/edward+scissorhands/;62773;4681;7;347;;http://www.imdb.com/title/tt0099487/;"2014-04-23 23:40:11";no;no;no;no
"Slumdog Millionaire";2008;http://www.icheckmovies.com/movies/slumdog+millionaire/;82189;4675;11;384;;http://www.imdb.com/title/tt1010048/;"2014-04-23 23:40:09";no;no;no;no
"Lost in Translation";2003;http://www.icheckmovies.com/movies/lost+in+translation/;44298;4755;12;531;;http://www.imdb.com/title/tt0335266/;"2014-04-23 23:40:07";no;no;no;no
"The Social Network";2010;http://www.icheckmovies.com/movies/the+social+network/;70633;4739;10;460;;http://www.imdb.com/title/tt1285016/;"2014-04-23 23:40:04";no;no;no;no
"Full Metal Jacket";1987;http://www.icheckmovies.com/movies/full+metal+jacket/;54812;4801;15;507;;http://www.imdb.com/title/tt0093058/;"2014-04-23 23:40:03";no;no;no;no
"Star Wars: Episode VI - Return of the Jedi";1983;http://www.icheckmovies.com/movies/star+wars+episode+vi+-+return+of+the+jedi/;82472;4893;18;507;;http://www.imdb.com/title/tt0086190/;"2014-04-23 23:40:02";no;no;no;no
"Children of Men";2006;http://www.icheckmovies.com/movies/children+of+men/;51004;4847;11;442;;http://www.imdb.com/title/tt0206634/;"2014-04-23 23:40:00";no;no;no;no
"Kill Bill: Vol. 2";2004;http://www.icheckmovies.com/movies/kill+bill+vol.+2/;71945;4861;7;458;;http://www.imdb.com/title/tt0378194/;"2014-04-23 23:39:59";no;no;no;no
Oldeuboi;2003;http://www.icheckmovies.com/movies/oldeuboi/;34262;5026;20;549;;http://www.imdb.com/title/tt0364569/;"2014-04-23 23:39:55";no;no;no;no
"Groundhog Day";1993;http://www.icheckmovies.com/movies/groundhog+day/;64921;5069;18;470;;http://www.imdb.com/title/tt0107048/;"2014-04-23 23:39:49";no;no;no;no
"There Will Be Blood";2007;http://www.icheckmovies.com/movies/there+will+be+blood/;46852;5101;18;610;;http://www.imdb.com/title/tt0469494/;"2014-04-23 23:39:49";no;no;no;no
"Shutter Island";2010;http://www.icheckmovies.com/movies/shutter+island/;68907;5178;9;388;;http://www.imdb.com/title/tt1130884/;"2014-04-23 23:39:48";no;no;no;no
"Terminator 2: Judgment Day";1991;http://www.icheckmovies.com/movies/terminator+2+judgment+day/;75216;5092;19;527;;http://www.imdb.com/title/tt0103064/;"2014-04-23 23:39:29";no;no;no;no
"Apocalypse Now";1979;http://www.icheckmovies.com/movies/apocalypse+now/;51191;5165;33;789;;http://www.imdb.com/title/tt0078788/;"2014-04-23 23:39:28";no;no;no;no
"District 9";2009;http://www.icheckmovies.com/movies/district+9/;70120;5153;11;343;;http://www.imdb.com/title/tt1136608/;"2014-04-23 23:39:26";no;no;no;no
